Headline,URL
US jobs surge casts doubt over interest rate cuts,
"UK foreign secretary falls victim to hoax video callA Foreign Office spokesperson says David Cameron is ""regretting his mistake"".4 hrs agoEurope",/news/articles/crggxy2pe1eo
UK foreign secretary falls victim to hoax video call,
Alex Jones asks to liquidate assets in $1.5bn debtConspiracy theorist Alex Jones has asked a Texas court to allow him to liquidate his assets as part of bankruptcy proceedings. 7 hrs agoUS & Canada,/news/articles/c4nnpyxvnxno
Alex Jones asks to liquidate assets in $1.5bn debt,
"Confident Putin warns Europe is ‘defenceless’The Russian leader appears to believe that in the current stand-off, the West will blink first.7 hrs agoEurope",/news/articles/cn00e422yr2o
Confident Putin warns Europe is ‘defenceless’,
"Black support for Trump overstated, Charlamagne saysThe radio host told the BBC black voters are frustrated with Democrats, but he doesn't see a mass political defection.7 hrs agoUS & Canada",/news/articles/cjqqkjy41zno
"Black support for Trump overstated, Charlamagne says",
US urges Israel to be transparent over Gaza school strikeIsrael says it killed at least nine militants but the deaths of 14 children are also being reported.5 hrs agoWorld,/news/articles/cekkd8k2gy9o
US urges Israel to be transparent over Gaza school strike,
"US jobs surge casts doubt over interest rate cutsUS employers added 272,000 jobs in May which was far higher than economists expected.11 hrs agoBusiness",/news/articles/c97763pnlvpo
US jobs surge casts doubt over interest rate cuts,
Most read,
1Danish PM attacked by man in Copenhagen,/news/articles/cv22k0rkl99o
Danish PM attacked by man in Copenhagen,
2CCTV appears to show Michael Mosley after leaving beach,/news/articles/cl552xdq79do
CCTV appears to show Michael Mosley after leaving beach,
3Trump judge flags social post claiming verdict knowledge,/news/articles/clkk4y93ypvo
Trump judge flags social post claiming verdict knowledge,
4Confident Putin warns Europe is ‘defenceless’,/news/articles/cn00e422yr2o
Confident Putin warns Europe is ‘defenceless’,
5Hunter Biden's daughter gives surprise testimony at trial,/news/articles/cxeel4r91d2o
Hunter Biden's daughter gives surprise testimony at trial,
6Biden apologises for delay in Ukraine military aid,/news/articles/cv22kz2102ro
Biden apologises for delay in Ukraine military aid,
7The part-time heroes behind US cricket's historic win,/news/articles/c511lz5jw9go
The part-time heroes behind US cricket's historic win,
8I married the love of my life in a Ukrainian bunker. Two days later he was killed,/news/articles/cv220gq7p31o
I married the love of my life in a Ukrainian bunker. Two days later he was killed,
9Penny Mordaunt says Rishi Sunak leaving D-Day event was 'wrong',/news/articles/cg33x0907nro
Penny Mordaunt says Rishi Sunak leaving D-Day event was 'wrong',
"10Beyoncé tickets, Bali trips and book deals: Here's how Supreme Court justices earned money this year",/news/articles/c4nnpd7jng9o
"Beyoncé tickets, Bali trips and book deals: Here's how Supreme Court justices earned money this year",
Sport,
"'Boring' & 'dismal' - but are England still 'ready' for Euro 2024?While England's performance against Iceland was described as ""dismal"", there is still a belief they can ""absolutely"" win Euro 2024.3 hrs agoEngland Men",/sport/football/articles/cd114w719vzo
'Boring' & 'dismal' - but are England still 'ready' for Euro 2024?,
"'For Scotland, no party, as Euros farewell falls flat'3 hrs agoScotland Men",/sport/football/articles/cg33d997v7no
"'For Scotland, no party, as Euros farewell falls flat'",
Alonso fastest as practice disrupted by rainAston Martin driver Fernando Alonso is fastest in Friday practice at the Canadian Grand Prix on a day disrupted by intermittent rain.2 hrs agoFormula 1,/sport/formula1/articles/cv22vy4vx39o
